title,source,time,summary
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
浙江永太科技股份有限公司,搜狐网,9天前,"公司是具有完整垂直一体化产业链的含氟医药、农药与新能源材料制造商,且在含氟芳香类中间体方面产能全球领先,能够为国内外客户提供定制研发、生产及技术服务业务。 (二)主要产品及用途 公司主要产品按照终端应用领域分为三类,包括医药类、..."
浙江中控技术股份有限公司2020年度报告摘要,网易,3月30日,"联合国大会以及12月纪念《巴黎协定》达成五周年气候雄心峰会等多次重大会议上,中国向世界宣布了2030年前实现碳达峰、2060年前实现碳中和的目标,体现了我国在全球气候治理上的态度和政策决心,在加速我国经济和能源转型方面具有高瞻远瞩的..."
正泰电器:国泰君安证券股份有限公司关于浙江正泰电器股份有限公司...,证券之星,2016年8月15日,"2016 年 5 月 20 日,浙江正泰电器股份有限公司(以下简称“正泰电 器”、“上市公司”、“公司”或“本公司”)...发85.96%股权的正泰集团、正泰新能源投资、上海联和、TreasureBay、通 祥投资、浙景投资、君彤鸿璟等 7 家企业..."
【磁材早报】磁材头条——浙江省磁性材料应用技术制造业创新中心...,搜狐网,2019年1月18日,"1月16日消息,工商信息显示,今年1月初,恒大集团全资控股的恒大高科技集团出资成立了“恒大智慧充电科技有限公司”,加码新能源汽车。 恒大智慧充电科技有限公司注册资本1亿元,经营范围主要包括新能源汽车充电桩、充电桩安装、充电设施的设计及..."
浙江海盐:企业转型遇难事 电力上门送服务,浙江在线,2011年7月7日,"洋人看好新能源“光伏发电工程”开建 “我以为开展新能源是企业的事,想不到,你们中国电力员工在做好供电的同时,把新新能源服务送上门来了,真是OK!” 6月26日,浙江海利普科技有限公司投资的首条智能光伏建筑并网发电示范工程正式开工,..."
中智国祥公司与新余电镀集控区签署新能源合作管理协议,腾讯网,5天前,"打开腾讯新闻,查看更多图片 > 2021年4月30日上午 中智国祥新能源电力投资发展有限公司与 新余电镀集控区 就新余电镀集控区屋顶分布光伏发电项目 进行会谈并正式签约 新余市中智国祥新能源电力投资发展有限公司董事长顾军、新余电镀集控区..."
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
浙江永太科技股份有限公司,搜狐网,9天前,"公司是具有完整垂直一体化产业链的含氟医药、农药与新能源材料制造商,且在含氟芳香类中间体方面产能全球领先,能够为国内外客户提供定制研发、生产及技术服务业务。 (二)主要产品及用途 公司主要产品按照终端应用领域分为三类,包括医药类、..."
浙江中控技术股份有限公司2020年度报告摘要,网易,3月30日,"联合国大会以及12月纪念《巴黎协定》达成五周年气候雄心峰会等多次重大会议上,中国向世界宣布了2030年前实现碳达峰、2060年前实现碳中和的目标,体现了我国在全球气候治理上的态度和政策决心,在加速我国经济和能源转型方面具有高瞻远瞩的..."
正泰电器:国泰君安证券股份有限公司关于浙江正泰电器股份有限公司...,证券之星,2016年8月15日,"2016 年 5 月 20 日,浙江正泰电器股份有限公司(以下简称“正泰电 器”、“上市公司”、“公司”或“本公司”)...发85.96%股权的正泰集团、正泰新能源投资、上海联和、TreasureBay、通 祥投资、浙景投资、君彤鸿璟等 7 家企业..."
【磁材早报】磁材头条——浙江省磁性材料应用技术制造业创新中心...,搜狐网,2019年1月18日,"1月16日消息,工商信息显示,今年1月初,恒大集团全资控股的恒大高科技集团出资成立了“恒大智慧充电科技有限公司”,加码新能源汽车。 恒大智慧充电科技有限公司注册资本1亿元,经营范围主要包括新能源汽车充电桩、充电桩安装、充电设施的设计及..."
浙江海盐:企业转型遇难事 电力上门送服务,浙江在线,2011年7月7日,"洋人看好新能源“光伏发电工程”开建 “我以为开展新能源是企业的事,想不到,你们中国电力员工在做好供电的同时,把新新能源服务送上门来了,真是OK!” 6月26日,浙江海利普科技有限公司投资的首条智能光伏建筑并网发电示范工程正式开工,..."
中智国祥公司与新余电镀集控区签署新能源合作管理协议,腾讯网,5天前,"打开腾讯新闻,查看更多图片 > 2021年4月30日上午 中智国祥新能源电力投资发展有限公司与 新余电镀集控区 就新余电镀集控区屋顶分布光伏发电项目 进行会谈并正式签约 新余市中智国祥新能源电力投资发展有限公司董事长顾军、新余电镀集控区..."
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
浙江永太科技股份有限公司,搜狐网,9天前,"公司是具有完整垂直一体化产业链的含氟医药、农药与新能源材料制造商,且在含氟芳香类中间体方面产能全球领先,能够为国内外客户提供定制研发、生产及技术服务业务。 (二)主要产品及用途 公司主要产品按照终端应用领域分为三类,包括医药类、..."
浙江中控技术股份有限公司2020年度报告摘要,网易,3月30日,"联合国大会以及12月纪念《巴黎协定》达成五周年气候雄心峰会等多次重大会议上,中国向世界宣布了2030年前实现碳达峰、2060年前实现碳中和的目标,体现了我国在全球气候治理上的态度和政策决心,在加速我国经济和能源转型方面具有高瞻远瞩的..."
正泰电器:国泰君安证券股份有限公司关于浙江正泰电器股份有限公司...,证券之星,2016年8月15日,"2016 年 5 月 20 日,浙江正泰电器股份有限公司(以下简称“正泰电 器”、“上市公司”、“公司”或“本公司”)...发85.96%股权的正泰集团、正泰新能源投资、上海联和、TreasureBay、通 祥投资、浙景投资、君彤鸿璟等 7 家企业..."
【磁材早报】磁材头条——浙江省磁性材料应用技术制造业创新中心...,搜狐网,2019年1月18日,"1月16日消息,工商信息显示,今年1月初,恒大集团全资控股的恒大高科技集团出资成立了“恒大智慧充电科技有限公司”,加码新能源汽车。 恒大智慧充电科技有限公司注册资本1亿元,经营范围主要包括新能源汽车充电桩、充电桩安装、充电设施的设计及..."
浙江海盐:企业转型遇难事 电力上门送服务,浙江在线,2011年7月7日,"洋人看好新能源“光伏发电工程”开建 “我以为开展新能源是企业的事,想不到,你们中国电力员工在做好供电的同时,把新新能源服务送上门来了,真是OK!” 6月26日,浙江海利普科技有限公司投资的首条智能光伏建筑并网发电示范工程正式开工,..."
中智国祥公司与新余电镀集控区签署新能源合作管理协议,腾讯网,5天前,"打开腾讯新闻,查看更多图片 > 2021年4月30日上午 中智国祥新能源电力投资发展有限公司与 新余电镀集控区 就新余电镀集控区屋顶分布光伏发电项目 进行会谈并正式签约 新余市中智国祥新能源电力投资发展有限公司董事长顾军、新余电镀集控区..."
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
浙江永太科技股份有限公司,搜狐网,9天前,"公司是具有完整垂直一体化产业链的含氟医药、农药与新能源材料制造商,且在含氟芳香类中间体方面产能全球领先,能够为国内外客户提供定制研发、生产及技术服务业务。 (二)主要产品及用途 公司主要产品按照终端应用领域分为三类,包括医药类、..."
浙江中控技术股份有限公司2020年度报告摘要,网易,3月30日,"联合国大会以及12月纪念《巴黎协定》达成五周年气候雄心峰会等多次重大会议上,中国向世界宣布了2030年前实现碳达峰、2060年前实现碳中和的目标,体现了我国在全球气候治理上的态度和政策决心,在加速我国经济和能源转型方面具有高瞻远瞩的..."
正泰电器:国泰君安证券股份有限公司关于浙江正泰电器股份有限公司...,证券之星,2016年8月15日,"2016 年 5 月 20 日,浙江正泰电器股份有限公司(以下简称“正泰电 器”、“上市公司”、“公司”或“本公司”)...发85.96%股权的正泰集团、正泰新能源投资、上海联和、TreasureBay、通 祥投资、浙景投资、君彤鸿璟等 7 家企业..."
【磁材早报】磁材头条——浙江省磁性材料应用技术制造业创新中心...,搜狐网,2019年1月18日,"1月16日消息,工商信息显示,今年1月初,恒大集团全资控股的恒大高科技集团出资成立了“恒大智慧充电科技有限公司”,加码新能源汽车。 恒大智慧充电科技有限公司注册资本1亿元,经营范围主要包括新能源汽车充电桩、充电桩安装、充电设施的设计及..."
浙江海盐:企业转型遇难事 电力上门送服务,浙江在线,2011年7月7日,"洋人看好新能源“光伏发电工程”开建 “我以为开展新能源是企业的事,想不到,你们中国电力员工在做好供电的同时,把新新能源服务送上门来了,真是OK!” 6月26日,浙江海利普科技有限公司投资的首条智能光伏建筑并网发电示范工程正式开工,..."
中智国祥公司与新余电镀集控区签署新能源合作管理协议,腾讯网,5天前,"打开腾讯新闻,查看更多图片 > 2021年4月30日上午 中智国祥新能源电力投资发展有限公司与 新余电镀集控区 就新余电镀集控区屋顶分布光伏发电项目 进行会谈并正式签约 新余市中智国祥新能源电力投资发展有限公司董事长顾军、新余电镀集控区..."
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
浙江永太科技股份有限公司,搜狐网,9天前,"公司是具有完整垂直一体化产业链的含氟医药、农药与新能源材料制造商,且在含氟芳香类中间体方面产能全球领先,能够为国内外客户提供定制研发、生产及技术服务业务。 (二)主要产品及用途 公司主要产品按照终端应用领域分为三类,包括医药类、..."
浙江中控技术股份有限公司2020年度报告摘要,网易,3月30日,"联合国大会以及12月纪念《巴黎协定》达成五周年气候雄心峰会等多次重大会议上,中国向世界宣布了2030年前实现碳达峰、2060年前实现碳中和的目标,体现了我国在全球气候治理上的态度和政策决心,在加速我国经济和能源转型方面具有高瞻远瞩的..."
正泰电器:国泰君安证券股份有限公司关于浙江正泰电器股份有限公司...,证券之星,2016年8月15日,"2016 年 5 月 20 日,浙江正泰电器股份有限公司(以下简称“正泰电 器”、“上市公司”、“公司”或“本公司”)...发85.96%股权的正泰集团、正泰新能源投资、上海联和、TreasureBay、通 祥投资、浙景投资、君彤鸿璟等 7 家企业..."
【磁材早报】磁材头条——浙江省磁性材料应用技术制造业创新中心...,搜狐网,2019年1月18日,"1月16日消息,工商信息显示,今年1月初,恒大集团全资控股的恒大高科技集团出资成立了“恒大智慧充电科技有限公司”,加码新能源汽车。 恒大智慧充电科技有限公司注册资本1亿元,经营范围主要包括新能源汽车充电桩、充电桩安装、充电设施的设计及..."
浙江海盐:企业转型遇难事 电力上门送服务,浙江在线,2011年7月7日,"洋人看好新能源“光伏发电工程”开建 “我以为开展新能源是企业的事,想不到,你们中国电力员工在做好供电的同时,把新新能源服务送上门来了,真是OK!” 6月26日,浙江海利普科技有限公司投资的首条智能光伏建筑并网发电示范工程正式开工,..."
中智国祥公司与新余电镀集控区签署新能源合作管理协议,腾讯网,5天前,"打开腾讯新闻,查看更多图片 > 2021年4月30日上午 中智国祥新能源电力投资发展有限公司与 新余电镀集控区 就新余电镀集控区屋顶分布光伏发电项目 进行会谈并正式签约 新余市中智国祥新能源电力投资发展有限公司董事长顾军、新余电镀集控区..."
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
浙江永太科技股份有限公司,搜狐网,9天前,"公司是具有完整垂直一体化产业链的含氟医药、农药与新能源材料制造商,且在含氟芳香类中间体方面产能全球领先,能够为国内外客户提供定制研发、生产及技术服务业务。 (二)主要产品及用途 公司主要产品按照终端应用领域分为三类,包括医药类、..."
浙江中控技术股份有限公司2020年度报告摘要,网易,3月30日,"联合国大会以及12月纪念《巴黎协定》达成五周年气候雄心峰会等多次重大会议上,中国向世界宣布了2030年前实现碳达峰、2060年前实现碳中和的目标,体现了我国在全球气候治理上的态度和政策决心,在加速我国经济和能源转型方面具有高瞻远瞩的..."
正泰电器:国泰君安证券股份有限公司关于浙江正泰电器股份有限公司...,证券之星,2016年8月15日,"2016 年 5 月 20 日,浙江正泰电器股份有限公司(以下简称“正泰电 器”、“上市公司”、“公司”或“本公司”)...发85.96%股权的正泰集团、正泰新能源投资、上海联和、TreasureBay、通 祥投资、浙景投资、君彤鸿璟等 7 家企业..."
【磁材早报】磁材头条——浙江省磁性材料应用技术制造业创新中心...,搜狐网,2019年1月18日,"1月16日消息,工商信息显示,今年1月初,恒大集团全资控股的恒大高科技集团出资成立了“恒大智慧充电科技有限公司”,加码新能源汽车。 恒大智慧充电科技有限公司注册资本1亿元,经营范围主要包括新能源汽车充电桩、充电桩安装、充电设施的设计及..."
浙江海盐:企业转型遇难事 电力上门送服务,浙江在线,2011年7月7日,"洋人看好新能源“光伏发电工程”开建 “我以为开展新能源是企业的事,想不到,你们中国电力员工在做好供电的同时,把新新能源服务送上门来了,真是OK!” 6月26日,浙江海利普科技有限公司投资的首条智能光伏建筑并网发电示范工程正式开工,..."
中智国祥公司与新余电镀集控区签署新能源合作管理协议,腾讯网,5天前,"打开腾讯新闻,查看更多图片 > 2021年4月30日上午 中智国祥新能源电力投资发展有限公司与 新余电镀集控区 就新余电镀集控区屋顶分布光伏发电项目 进行会谈并正式签约 新余市中智国祥新能源电力投资发展有限公司董事长顾军、新余电镀集控区..."
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
浙江永太科技股份有限公司,搜狐网,9天前,"公司是具有完整垂直一体化产业链的含氟医药、农药与新能源材料制造商,且在含氟芳香类中间体方面产能全球领先,能够为国内外客户提供定制研发、生产及技术服务业务。 (二)主要产品及用途 公司主要产品按照终端应用领域分为三类,包括医药类、..."
浙江中控技术股份有限公司2020年度报告摘要,网易,3月30日,"联合国大会以及12月纪念《巴黎协定》达成五周年气候雄心峰会等多次重大会议上,中国向世界宣布了2030年前实现碳达峰、2060年前实现碳中和的目标,体现了我国在全球气候治理上的态度和政策决心,在加速我国经济和能源转型方面具有高瞻远瞩的..."
正泰电器:国泰君安证券股份有限公司关于浙江正泰电器股份有限公司...,证券之星,2016年8月15日,"2016 年 5 月 20 日,浙江正泰电器股份有限公司(以下简称“正泰电 器”、“上市公司”、“公司”或“本公司”)...发85.96%股权的正泰集团、正泰新能源投资、上海联和、TreasureBay、通 祥投资、浙景投资、君彤鸿璟等 7 家企业..."
【磁材早报】磁材头条——浙江省磁性材料应用技术制造业创新中心...,搜狐网,2019年1月18日,"1月16日消息,工商信息显示,今年1月初,恒大集团全资控股的恒大高科技集团出资成立了“恒大智慧充电科技有限公司”,加码新能源汽车。 恒大智慧充电科技有限公司注册资本1亿元,经营范围主要包括新能源汽车充电桩、充电桩安装、充电设施的设计及..."
浙江海盐:企业转型遇难事 电力上门送服务,浙江在线,2011年7月7日,"洋人看好新能源“光伏发电工程”开建 “我以为开展新能源是企业的事,想不到,你们中国电力员工在做好供电的同时,把新新能源服务送上门来了,真是OK!” 6月26日,浙江海利普科技有限公司投资的首条智能光伏建筑并网发电示范工程正式开工,..."
中智国祥公司与新余电镀集控区签署新能源合作管理协议,腾讯网,5天前,"打开腾讯新闻,查看更多图片 > 2021年4月30日上午 中智国祥新能源电力投资发展有限公司与 新余电镀集控区 就新余电镀集控区屋顶分布光伏发电项目 进行会谈并正式签约 新余市中智国祥新能源电力投资发展有限公司董事长顾军、新余电镀集控区..."
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
浙江永太科技股份有限公司,搜狐网,9天前,"公司是具有完整垂直一体化产业链的含氟医药、农药与新能源材料制造商,且在含氟芳香类中间体方面产能全球领先,能够为国内外客户提供定制研发、生产及技术服务业务。 (二)主要产品及用途 公司主要产品按照终端应用领域分为三类,包括医药类、..."
浙江中控技术股份有限公司2020年度报告摘要,网易,3月30日,"联合国大会以及12月纪念《巴黎协定》达成五周年气候雄心峰会等多次重大会议上,中国向世界宣布了2030年前实现碳达峰、2060年前实现碳中和的目标,体现了我国在全球气候治理上的态度和政策决心,在加速我国经济和能源转型方面具有高瞻远瞩的..."
正泰电器:国泰君安证券股份有限公司关于浙江正泰电器股份有限公司...,证券之星,2016年8月15日,"2016 年 5 月 20 日,浙江正泰电器股份有限公司(以下简称“正泰电 器”、“上市公司”、“公司”或“本公司”)...发85.96%股权的正泰集团、正泰新能源投资、上海联和、TreasureBay、通 祥投资、浙景投资、君彤鸿璟等 7 家企业..."
【磁材早报】磁材头条——浙江省磁性材料应用技术制造业创新中心...,搜狐网,2019年1月18日,"1月16日消息,工商信息显示,今年1月初,恒大集团全资控股的恒大高科技集团出资成立了“恒大智慧充电科技有限公司”,加码新能源汽车。 恒大智慧充电科技有限公司注册资本1亿元,经营范围主要包括新能源汽车充电桩、充电桩安装、充电设施的设计及..."
浙江海盐:企业转型遇难事 电力上门送服务,浙江在线,2011年7月7日,"洋人看好新能源“光伏发电工程”开建 “我以为开展新能源是企业的事,想不到,你们中国电力员工在做好供电的同时,把新新能源服务送上门来了,真是OK!” 6月26日,浙江海利普科技有限公司投资的首条智能光伏建筑并网发电示范工程正式开工,..."
中智国祥公司与新余电镀集控区签署新能源合作管理协议,腾讯网,5天前,"打开腾讯新闻,查看更多图片 > 2021年4月30日上午 中智国祥新能源电力投资发展有限公司与 新余电镀集控区 就新余电镀集控区屋顶分布光伏发电项目 进行会谈并正式签约 新余市中智国祥新能源电力投资发展有限公司董事长顾军、新余电镀集控区..."
"好买股权捷报:2月,新能源汽车领域被投企业连获融资",好买私募基金网,2018年3月7日,"这意味着,从政策层面上,国家对新能源汽车的支持力度不减,对新能源汽车行业发展而言,无疑是利好消息。好买启辰系多支基金已布局新能源汽车产业链的众多企业。  本月,好买启辰系被投企业中,有1家企业申请港交所主板上市,1家企业拟..."
"浙江闪电落实新能源汽车新政,传递出什么重磅信号?",搜狐网,2020年4月7日,"二、公司 1、丰田汽车:设立绿色能源公司,进军可再生能源 4月3日,全球汽车巨头丰田宣布进军可再生能源发电行业——计划与日本中部电力有限公司合资设立丰田绿色能源公司。新公司将在日本收购和运营风能和太阳能项目及其发电业务,以帮助丰田实..."
浙江芯能光伏科技股份有限公司首次公开发行股票发行公告,搜狐网,2018年6月26日,"2018年6月28日(T+1日),发行人和保荐机构(主承销商)将在《中国证券报》、《上海证券报》、《证券时报》和《证券日报》刊登的《浙江芯能光伏科技股份有限公司首次公开发行股票网上中签率公告》中公布网上发行中签率。"
"全国300多家新能源汽车充电桩企业大比拼,充电桩企业到底哪家强...",搜狐网,2016年11月23日,"企业简介:浙江万马新能源有限公司是由浙江万马股份有限公司(股票代码:002276)控股的有限责任公司,是集研发、设计、生产、销售于一体的高新技术企业。公司位于杭州青山湖畔的临安经济技术开发区,注册资本5000万元。"
